gender,name,origin
M,აბა,ებრაული
M,აბაზა,სპარსული
M,აბდია,ებრაული
M,აბდიეს,ებრაული
M,აბდონ,ებრაული
M,აბდულ,არაბული
M,აბელ,ებრაული
M,აბენეს,
M,აბესალომ,ებრაული
M,აბიათარ,
M,აბიბო,არაბული
M,აბიბოს,
M,აბიმ,
M,აბო,არაბული
M,აბრაამ,ებრაული
M,აბრამ,ებრაული
M,აბუდიმე,
M,აბულა,არაბული
M,აბუნდი,
M,აბუსერ,
M,აგაბო,ბერძნული
M,აგათონიკე,ბერძნული
M,აგაპე,ბერძნული
M,აგლაიოს,ბერძნული
M,აგული,ქართული
M,აგუნა,ქართული
M,ადამ,ებრაული
M,ადამი,ებრაული
M,ადარნასე,სპარსული
M,ადარნერსე,სპარსული
M,ადიკო,
M,ადილა,არაბული
M,ადილარ,არაბული
M,ადოლა,ქართული
M,ადოლფო,ესპანური
M,ადრაინე,ლათინური
M,ადრიანე,ლათინური
M,აეტი,ბერძნული
M,ავაგ,
M,ავაგი,
M,ავალა,
M,ავალო,
M,ავგაროზ,
M,ავგუსტინე,
M,ავდელი,
M,ავდიკი,სპარსული
M,ავდიფაქსი,სპარსული
M,ავთანდილ,სპარსული
M,ავთო,ქართული
M,ავტონომე,ბერძნული
M,ავქსენტი,ბერძნული
M,ავქტე,ბერძნული
M,აზა,სპარსული
M,აზადან,სპარსული
M,აზარია,ებრაული
M,აზატი,სპარსული
M,ათანასე,ბერძნული
M,ათინოგენე,ბერძნული
M,ათინოდორე,ბერძნული
M,აიდემურ,
M,აითალე,სპარსული
M,აკაკი,ბერძნული
M,აკეფსი,სპარსული
M,აკეფსიმე,სპარსული
M,აკვილა,ლათინური
M,აკვინდინე,ბერძნული
M,აკიო,იაპონური
M,აკო,ქართული
M,აკუტიონი,ლათინური
M,ალავერდა,თურქული
M,ალალე,ქალდეური
M,ალეკო,ქართული
M,ალექსი,ბერძნული
M,ალვიპ,ბერძნული
M,ალი,არაბული
M,ალიმი,
M,ალიო,ქართული
M,ალმასგირ,თურქული
M,ალმასხან,თურქული
M,ალმირელ,
M,ალუდა,ოსური
M,ალფეზ,ბერძნული
M,ალფესი,ებრაული
M,ალფიოს,
M,ალხაზა,
M,ამან,არაბული
M,ამბაკო,ებრაული
M,ამბერკი,ბერძნული
M,ამბროსი,ბერძნული
M,ამირან,ქართული
M,ამირანდო,
M,ამირანი,ქართული
M,ამირინდო,სპარსული
M,ამონი,ეგვიპტური
M,ამონიტე,
M,ამოსი,ებრაული
M,ამფიანე,
M,ამფილოქე,ბერძნული
M,ანანია,ებრაული
M,ანასტასი,ბერძნული
M,ანგეა,ებრაული
M,ანგელარი,ბერძნული
M,ანგია,ბერძნული
M,ანდრი,ბერძნული
M,ანდრია,ბერძნული
M,ანდრო,ბერძნული
M,ანდრონიკე,ბერძნული
M,ანდუყაფარ,სპარსული
M,ანემპოდისტე,ბერძნული
M,ანექტი,ბერძნული
M,ანზორ,ქართული
M,ანთვირე,ბერძნული
M,ანთიმოზ,ბერძნული
M,ანიკიტე,ბერძნული
M,ანინე,
M,ანრი,
M,ანტიოქე,ბერძნული
M,ანტიპა,ბერძნული
M,ანტიპატრე,ბერძნული
M,ანტოლი,ბერძნული
M,ანტონინე,
M,ანუბი,ეგვიპტური
M,აპელი,ბერძნული
M,აპოლინარ,ბერძნული
M,აპოლონ,ბერძნული
M,აპოლოს,ბერძნული
M,აპრონიანე,ბერძნული
M,არდალიონ,ბერძნული
M,არდაშელ,ირანული
M,არდაშელი,
M,არეთა,ბერძნული
M,არეს,ბერძნული
M,არზაყან,თურქული
M,არიანე,
M,არიოს,ებრაული
M,არისტარქე,ბერძნული
M,არისტო,ბერძნული
M,არისტობულე,ბერძნული
M,არისტოკლე,ბერძნული
M,არისტონ,ბერძნული
M,არკადი,ბერძნული
M,არმაზ,ირანული
M,არნავ,ინდური
M,არპილა,
M,არტემ,ბერძნული
M,არტემონ,ბერძნული
M,არქილე,
M,არქიპო,ბერძნული
M,არქიფო,ბერძნული
M,არჩილ,ირანული
M,არჯევან,სპარსული
M,ასათ,არაბული
M,ასალო,
M,ასან,არაბული
M,ასინკრიტე,ბერძნული
M,ასკალო,ბერძნული
M,ასკალონ,ბერძნული
M,ასკლიპიოდოტე,ბერძნული
M,ასლამაზ,
M,ასლან,თურქული
M,ასლანაზ,ქართული
M,ასპან,
M,ასტერ,ბერძნული
M,ასტიონ,ბერძნული
M,ასტიონე,
M,ასტიოს,ბერძნული
M,ატიკე,ბერძნული
M,ატიოს,ბერძნული
M,აფთარი,
M,აფთონი,ბერძნული
M,აფრასიონ,სპარსული
M,აფრიკანე,
M,აფშინა,სპარსული
M,აქაზი,ებრაული
M,აქაია,ებრაული
M,აქიკი,ებრაული
M,აქილე,ბერძნული
M,აღათანგელოზი,ბერძნული
M,აღათოდორე,ბერძნული
M,აღათონი,ბერძნული
M,აღათოპო,ბერძნული
M,აღათოპოდო,ბერძნული
M,აღაპი,ბერძნული
M,აღაპიტე,ბერძნული
M,აღბუღა,
M,აშოტ,
M,აჩიკო,ქართული
M,აჰმედ,არაბული
M,ბაადურ,სპარსული
M,ბაბილა,ებრაული
M,ბაბილო,სირიული
M,ბაგრატ,ირანული
M,ბადრი,არაბული
M,ბადუკა,
M,ბათუ,
M,ბათუსი,
M,ბაკურ,ირანული
M,ბაკხუსი,ბერძნული
M,ბაპტოსი,
M,ბარათა,არაბული
M,ბარამ,
M,ბარაქიოს,ებრაული
M,ბარაქისე,სპარსული
M,ბარბარი,
M,ბართლომე,ებრაული
M,ბარნაბა,ებრაული
M,ბარსანოფი,
M,ბარსისე,
M,ბარული,სირიული
M,ბარუქ,ებრაული
M,ბარძიმ,ირანული
M,ბასილ,ირანული
M,ბასინე,
M,ბასოსი,
M,ბაქარ,ქართული
M,ბაქარი,ქართული
M,ბაღათერა,ირანული
M,ბაჩა,ქართული
M,ბაჩანა,ქართული
M,ბაჭუა,ქართული
M,ბაჭუკი,ქართული
M,ბახვა,ქართული
M,ბახუ,
M,ბახუტა,ირანული
M,ბებური,
M,ბეგა,თურქული
M,ბეგი,თურქული
M,ბეგლარ,თურქული
M,ბედიანე,
M,ბეკო,
M,ბენედიქტე,ლათინური
M,ბენიამინ,ებრაული
M,ბენიამინი,ებრაული
M,ბენჯამინ,ინგლისური
M,ბეჟან,სპარსული
M,ბერა,ქართული
M,ბერდია,ქართული
M,ბერი,
M,ბესარიონ,ბერძნული
M,ბესიკ,ქართული
M,ბექა,თურქული
M,ბეშქენ,სპარსული
M,ბეცია,
M,ბითონიოს,ბერძნული
M,ბიკენტი,ლათინური
M,ბირთველი,
M,ბირილადე,
M,ბიქტორ,ლათინური
M,ბიძინა,ქართული
M,ბიჭია,
M,ბიჭიკო,ქართული
M,ბოიანი,
M,ბონიფანტე,ლათინური
M,ბორის,სლავური
M,ბოსტა,
M,ბოჩია,ქართული
M,ბოცო,ქართული
M,ბუდუ,ქართული
M,ბუჭულა,
M,ბუხუტი,ქართული
M,გაბიანე,ლათინური
M,გაბილა,
M,გაბრიელ,ებრაული
M,გაბრიელი,ებრაული
M,გაგი,ქართული
M,გავედაი,სპარსული
M,გაიოზ,ბერძნული
M,გალაკტიონ,ბერძნული
M,გალაქტიონ,ბერძნული
M,გალიკე,
M,გალოგრე,
M,გამალიელი,ებრაული
M,გამახარე,
M,გამიხარდა,
M,გარსევან,
M,გახა,ქართული
M,გეგა,ქართული
M,გეგი,ქართული
M,გედევან,ებრაული
M,გედეონ,
M,გელა,ქართული
M,გელასი,ბერძნული
M,გემელი,ლათინური
M,გენადი,ბერძნული
M,გერასიმე,ბერძნული
M,გერვასი,ბერძნული
M,გერმანე,ლათინური
M,გერონტი,ბერძნული
M,გვანჯი,ქართული
M,გზობია,
M,გია,ქართული
M,გიგა,ქართული
M,გიგანტი,ბერძნული
M,გიგი,ქართული
M,გიგილო,ქართული
M,გიგლა,ქართული
M,გიგოლი,ქართული
M,გივი,ქართული
M,გივიკო,ქართული
M,გიმნასიოსი,ბერძნული
M,გიო,ბერძნული
M,გიორგი,ბერძნული
M,გლახა,
M,გლახუა,
M,გლები,სლავური
M,გლიკერი,ბერძნული
M,გოგი,ქართული
M,გოგია,
M,გოგიტა,ქართული
M,გოგიჩა,ქართული
M,გოგოთურ,ქართული
M,გოდერძი,ირანული
M,გორაზდი,
M,გორგიოს,ბერძნული
M,გორგონიოს,ბერძნული
M,გორდი,
M,გორდიანე,
M,გოსტაშაბ,სპარსული
M,გოშპარი,
M,გოჩა,ქართული
M,გოჯასპირი,სპარსული
M,გრიგოლ,ბერძნული
M,გუბაზ,ირანული
M,გუბაზი,ირანული
M,გუგა,ქართული
M,გუგუ,ქართული
M,გუგუნა,ქართული
M,გუკა,ქართული
M,გულბაათ,სპარსული
M,გულბათი,
M,გურამ,
M,გურამი,ბერძნული
M,გურასპი,
M,გურგენ,ირანული
M,გური,ებრაული
M,დადა,ბერძნული
M,დავიქტი,ლათინური
M,დათა,ქართული
M,დათია,ქართული
M,დათიკო,ქართული
M,დათო,ქართული
M,დათუა,ქართული
M,დათუნა,ქართული
M,დაიკი,იაპონური
M,დაისუკე,იაპონური
M,დაიჩი,იაპონური
M,დალმატი,
M,დამიანე,ბერძნული
M,დანაქტი,ბერძნული
M,დანიელ,ებრაული
M,დანიელი,ებრაული
M,დარისპანი,სპარსული
M,დარჩია,
M,დასი,ბერძნული
M,დაჩი,სპარსული
M,დევი,ინგლისური
M,დეივ,ინგლისური
M,დემეტრე,ბერძნული
M,დემნა,ქართული
M,დემური,
M,დიასამ,
M,დიდიმ,ბერძნული
M,დიდიმე,ბერძნული
M,დიმა,სლავური
M,დიმიტრი,სლავური
M,დიმიტრიანე,ბერძნული
M,დიოდორე,ბერძნული
M,დიოდოტე,ბერძნული
M,დიომიდე,ბერძნული
M,დიონე,
M,დიონისე,ბერძნული
M,დიოსი,ბერძნული
M,დიოსკორე,ბერძნული
M,დისანი,
M,დისიდერი,ლათინური
M,დიტო,ქართული
M,დოდო,
M,დოლენჯი,
M,დომენტი,ბერძნული
M,დომეტიანე,ლათინური
M,დომნე,ლათინური
M,დომნინე,ლათინური
M,დონატე,ლათინური
M,დოროთე,ბერძნული
M,დოროთეოზ,ბერძნული
M,დორომედონტ,ბერძნული
M,დოსითეოზი,ბერძნული
M,დუდა,
M,დუდუ,
M,დულე,ბერძნული
M,დურმიშხან,თურქული
M,დუტუ,ქართული
M,დუქიტე,ლათინური
M,ეგნატე,ლათინური
M,ედიშერ,სპარსული
M,ედოსიოს,სირიული
M,ედუარდ,გერმანული
M,ევაგრე,ბერძნული
M,ევანგელი,ბერძნული
M,ევარესტო,ბერძნული
M,ევბული,ბერძნული
M,ევგენი,ბერძნული
M,ევგრაფ,ბერძნული
M,ევდემოზ,
M,ევდოკ,ბერძნული
M,ევდოკიმე,ბერძნული
M,ევდომოსი,
M,ეველპისტე,ბერძნული
M,ევილასე,ბერძნული
M,ევკარპიოს,ბერძნული
M,ევკლე,
M,ევლამპიოს,ბერძნული
M,ევლოგ,ბერძნული
M,ევმენიოს,ბერძნული
M,ევნიკიანე,ბერძნული
M,ევნოიკე,ბერძნული
M,ევოდი,ბერძნული
M,ევპოლე,ბერძნული
M,ევპორო,ბერძნული
M,ევსევი,ბერძნული
M,ევსევონი,
M,ევსინგი,ბერძნული
M,ევსტათი,ბერძნული
M,ევსტოქიოს,ბერძნული
M,ევსტრატი,ბერძნული
M,ევსქიმონი,ბერძნული
M,ევტიქი,ბერძნული
M,ევტიქიანე,ბერძნული
M,ევტროპიოს,ბერძნული
M,ევფრას,ბერძნული
M,ევფროსინე,ბერძნული
M,ეზეკიელ,ებრაული
M,ეზრა,
M,ეთერიოს,ბერძნული
M,ეკდიკიოსი,
M,ელადი,ბერძნული
M,ელგუჯა,თურქული
M,ელდარ,ებრაული
M,ელევსიპე,ბერძნული
M,ელეზვოე,
M,ელეფთერ,ბერძნული
M,ელია,ბერძნული
M,ელიაზარ,ებრაული
M,ელიზბარ,
M,ელიმე,ებრაული
M,ელიოზ,ბერძნული
M,ელიოსი,
M,ელისე,ებრაული
M,ელპიდიოს,ბერძნული
M,ელპიდიფორე,ბერძნული
M,ემანუელ,ებრაული
M,ემელიანე,ბერძნული
M,ეპაფრასი,ბერძნული
M,ეპაფროდიტე,ბერძნული
M,ეპენტე,ბერძნული
M,ეპიფანე,ბერძნული
M,ეპიქტეტე,ბერძნული
M,ერაზმი,ბერძნული
M,ერასტი,ბერძნული
M,ერეკლე,ბერძნული
M,ერემია,ბერძნული
M,ერმი,ბერძნული
M,ერმილე,
M,ერმინინგელდი,გერმანული
M,ერმიპე,ბერძნული
M,ერმოგენი,ბერძნული
M,ერმოკრატე,ბერძნული
M,ერმოლაოს,ბერძნული
M,ეროსი,ბერძნული
M,ესაია,ბერძნული
M,ესპერი,ბერძნული
M,ესტატე,ბერძნული
M,ეფენდი,თურქული
M,ეფიბი,ბერძნული
M,ეფრემ,ბერძნული
M,ექვთიმე,ბერძნული
M,ექსაკუსტოდიანე,ბერძნული
M,ვადიმი,სპარსული
M,ვაკო,
M,ვალენტინე,ლათინური
M,ვალერი,ლათინური
M,ვალერიანე,ლათინური
M,ვალერიუს,ლათინური
M,ვამეყი,
M,ვანო,ქართული
M,ვაჟა,ქართული
M,ვარადატი,სირიული
M,ვარაზვაჩე,
M,ვარაზი,სპარსული
M,ვარამი,
M,ვარაქიელი,ებრაული
M,ვარდენ,ირანული
M,ვარიფსავე,ბერძნული
M,ვარლამ,ქალდეური
M,ვასე,
M,ვასიკო,ქართული
M,ვასილ,ბერძნული
M,ვასილიდი,ბერძნული
M,ვასილისკო,ბერძნული
M,ვატა,ბერძნული
M,ვატო,ქართული
M,ვაჩე,ირანული
M,ვახო,ქართული
M,ვახტანგი,ირანული
M,ვახუშტი,ირანული
M,ვენდიმიანე,
M,ვენედიმე,
M,ვერკი,
M,ვერძელა,
M,ვიანორე,ბერძნული
M,ვივიანე,ლათინური
M,ვილე,
M,ვირშელი,
M,ვიტალი,ლათინური
M,ვიტე,ლათინური
M,ვიქტორ,ლათინური
M,ვიქტორი,ლათინური
M,ვიქტორინი,ლათინური
M,ვლადიმერ,რუსული
M,ვლადიმირ,სლავური
M,ვლადისლავი,სლავური
M,ვლასი,ბერძნული
M,ვუკოლე,ბერძნული
M,ზაალ,სპარსული
M,ზაბულონი,
M,ზაზა,ებრაული
M,ზაზუკა,
M,ზაქარია,ებრაული
M,ზაქე,სირიული
M,ზაქრო,
M,ზებედე,
M,ზევინე,
M,ზეზვა,ქართული
M,ზენონ,ბერძნული
M,ზვიად,ქართული
M,ზვიადი,
M,ზინა,ბერძნული
M,ზინობი,ბერძნული
M,ზოილე,ბერძნული
M,ზოსიმე,ბერძნული
M,ზოტიკე,ბერძნული
M,ზუბიტა,
M,ზუკა,ქართული
M,ზურა,ქართული
M,ზურაბ,სპარსული
M,ზურაბი,სპარსული
M,ზურია,ქართული
M,ზურიკო,ქართული
M,თადეოზ,ასურიული
M,თადია,
M,თაზო,ქართული
M,თალალე,ბერძნული
M,თალასი,ბერძნული
M,თალესი,ბერძნული
M,თამაზ,ირანული
M,თამაზი,ირანული
M,თანდილა,ქართული
M,თარხან,თურქული
M,თაურა,
M,თაყა,ქართული
M,თაყინა,
M,თედო,
M,თედორე,ბერძნული
M,თევდორე,
M,თეიმურაზ,ირანული
M,თემელიოსი,ბერძნული
M,თემისტოკლე,ბერძნული
M,თემო,ქართული
M,თემურ,თურქული
M,თემური,თურქული
M,თენგიზ,თურქული
M,თენგო,ქართული
M,თეოგენი,ბერძნული
M,თეოგნიდე,ბერძნული
M,თეოგნოსტე,ბერძნული
M,თეოდორიტე,ბერძნული
M,თეოდოსი,ბერძნული
M,თეოდოტე,ბერძნული
M,თეოდოხე,ბერძნული
M,თეოდულე,ბერძნული
M,თეონა,ბერძნული
M,თეოპემპტე,ბერძნული
M,თეოპისტე,ბერძნული
M,თეოპრეპე,ბერძნული
M,თეოსტირიქტე,ბერძნული
M,თეოსტიქე,ბერძნული
M,თეოტეკნე,ბერძნული
M,თეოტიქე,ბერძნული
M,თეოფანე,ბერძნული
M,თეოფილაქტე,ბერძნული
M,თეოფილე,ბერძნული
M,თეოქტირისტე,ბერძნული
M,თეოქტისტე,ბერძნული
M,თერაპონი,ბერძნული
M,თერმე,ბერძნული
M,თესპე,ბერძნული
M,თვირსე,
M,თიფაილი,
M,თომა,ებრაული
M,თორღვა,
M,იაგო,ესპანური
M,იაგორა,
M,იადორე,
M,იაკინთე,ბერძნული
M,იაკისქოლე,ბერძნული
M,იაკობ,ებრაული
M,იაკობი,ებრაული
M,იამბლიქო,ბერძნული
M,იანუარ,ლათინური
M,იარალი,თურქული
M,იასე,
M,იასონ,ბერძნული
M,იგათრაქსი,
M,იერაქსი,ბერძნული
M,იერემია,ებრაული
M,იერითეოსი,ბერძნული
M,იერომიელი,ებრაული
M,იერონი,ბერძნული
M,იერონიმე,ბერძნული
M,ივანე,ებრაული
M,ივერი,ქართული
M,ივლიანე,ლათინური
M,ივქირიონ,ქართული
M,ილი,ბერძნული
M,ილია,ებრაული
M,ილიანე,ბერძნული
M,ილიკო,ქართული
M,ილიოდორე,ბერძნული
M,ილირიკე,ბერძნული
M,იმედა,ქართული
M,ინა,გუთური
M,ინდისევსი,
M,ინიკიტე,ბერძნული
M,ინოკეტი,ლათინური
M,იოადი,ებრაული
M,იოათამი,
M,იოაკიმე,ებრაული
M,იოანე,ებრაული
M,იოანიკე,
M,იოასაფი,ებრაული
M,იობი,ებრაული
M,იოელი,ებრაული
M,იოვენტინე,
M,იოთამი,
M,იონა,ებრაული
M,იორამი,
M,იორდანე,ებრაული
M,იოსია,ებრაული
M,იოშიო,იაპონური
M,იოჰან,გერმანული
M,იოჰანი,გერმანული
M,იპატიოსი,ბერძნული
M,იპერიხე,
M,იპერხი,ბერძნული
M,იპოლიტე,ბერძნული
M,ირაკლემონი,ბერძნული
M,ირაკლი,ბერძნული
M,ირინარხე,ბერძნული
M,ირინეოსი,ბერძნული
M,ირინიოსი,
M,იროდიონი,ბერძნული
M,ისააკი,ებრაული
M,ისავრე,
M,ისაია,ებრაული
M,ისაკ,ებრაული
M,ისამუ,იაპონური
M,ისე,
M,ისიდორე,ბერძნული
M,ისიხი,ბერძნული
M,ისკოი,
M,ისმაილ,ებრაული
M,ისუ,
M,იუბენალი,ლათინური
M,იუდა,ებრაული
M,იუვენტინე,ლათინური
M,იულიანე,ლათინური
M,იულიუს,ლათინური
M,იუსტიანიანე,ლათინური
M,იუსტინე,ლათინური
M,იუსტოს,ლათინური
M,იუტაკა,იაპონური
M,იუტო,იაპონური
M,იუუდაი,იაპონური
M,იუუმა,იაპონური
M,იუუტა,იაპონური
M,კაზუია,იაპონური
M,კაზუკი,იაპონური
M,კაიტო,იაპონური
M,კაკო,ქართული
M,კალე,ქართული
M,კალენიკე,ბერძნული
M,კალიმაქე,ბერძნული
M,კალინიკე,ბერძნული
M,კალიოპე,ბერძნული
M,კალისტე,ბერძნული
M,კალუთე,
M,კანდიდ,ლათინური
M,კანდიდე,ლათინური
M,კანტიდი,
M,კანტიდიანე,
M,კაპიკე,
